品目名,読み仮名,分別区分,廃棄方法,注意事項,持込が必要な品目か（TRUE/FALSE）,充電池か（TRUE/FALSE）,携帯電話・タブレットPCか（TRUE/FALSE）,その他の電子機器か（TRUE/FALSE）
IHクッキングヒーター・IH調理器,あいえいちくっきんぐひーたー・あいえいちちょうりき,不燃ごみまたは粗大ごみ,,,0,0,0,0
ICレコーダー,あいしーれこーだー,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ（電池は外す）,,1,0,0,1
アイスノン（保冷剤）,あいすのん（ほれいざい）,可燃ごみ,,,0,0,0,0
アイスピック,あいすぴっく,不燃ごみ,紙で包み｢危険｣と書いて不燃ごみ指定袋へ,,0,0,0,0
アイス枕,あいすまくら,可燃ごみ,,,0,0,0,0
アイロン,あいろん,不燃ごみ,,,0,0,0,0
アイロンプリントの紙,あいろんぷりんとのかみ,可燃ごみ,,,0,0,0,0
アイロン台,あいろんだい,粗大ごみ,,,0,0,0,0
赤ちゃんパイプいす,あかちゃんぱいぷいす,粗大ごみ,,,0,0,0,0
空き缶（飲食用）,あきかん（いんしょくよう）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【缶】,水ですすぐ,0,0,0,0
空き缶（飲食用以外のもの）,あきかん（いんしょくよういがいのもの）,不燃ごみ,,,0,0,0,0
空き缶のフタ（金属製）（飲食用以外）,あきかんのふた（きんぞくせい）（いんしょくよういがい）,不燃ごみ,,,0,0,0,0
空き缶のフタ（プラスチック製）,あきかんのふた（ぷらすちっくせい）,可燃ごみ,,,0,0,0,0
空き缶のフタ（金属製）（飲食用）,あきかんのふた（きんぞくせい）（いんしょくよう）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【缶】,,0,0,0,0
空きびん（飲食用以外）,あきびん（いんしょくよういがい）,不燃ごみ,,,0,0,0,0
空きびん（有毒性の薬品が入っていたもの）,あきびん（ゆうどくせいのやくひんがはいっていたもの）,排出禁止物等,購入店・回収協力店等へ相談してください。,,1,0,0,0
空きびん（飲食用）,あきびん（いんしょくよう）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【びん】,水ですすぐ,0,0,0,0
空きびんのフタ（プラスチック製）,あきびんのふた（ぷらすちっくせい）,可燃ごみ,,,0,0,0,0
空きびんのフタ（金属製）（飲食用）,あきびんのふた（きんぞくせい）（いんしょくよう）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【缶】,,0,0,0,0
空きびんのフタ（金属製）（飲食用以外）,あきびんのふた（きんぞくせい）（いんしょくよういがい）,不燃ごみ,,,0,0,0,0
