name (施設名),address (住所),latitude (緯度),longitude (経度),business_hours (利用時間),battery (充電池回収),phone (携帯・タブレット・PC回収),other_electronics (その他小型家電回収),区,施設の読み仮名,Googleマップリンク
千葉市役所 1階ロビー,千葉市中央区千葉港1-1,35.6071392,140.1064909,平日9:00～17:00,1,1,1,中央区,ちばしやくしょ いっかいろびー,https://www.google.com/maps/search/?api=1&query=%E5%8D%83%E8%91%89%E5%B8%82%E5%BD%B9%E6%89%80%20%E5%8D%83%E8%91%89%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%83%E8%91%89%E6%B8%AF1-1
中央区役所 総務課前,千葉市中央区中央4丁目5番1号(きぼーる11階),35.6074181,140.122634,平日9:00～17:00,1,1,1,中央区,ちゅうおうくやくしょ そうむかまえ,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%BD%B9%E6%89%80%20%E5%8D%83%E8%91%89%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E4%B8%AD%E5%A4%AE4%E4%B8%81%E7%9B%AE5%E7%95%AA1%E5%8F%B7%28%E3%81%8D%E3%81%BC%E3%83%BC%E3%82%8B11%E9%9A%8E%29
中央・美浜環境事業所,千葉市中央区都町8-1-17,35.617906,140.150356,平日9:00～17:00、土曜9:00～12:00,1,1,1,中央区,ちゅうおう・みはまかんきょうじぎょうしょ,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%A4%AE%E3%83%BB%E7%BE%8E%E6%B5%9C%E7%92%B0%E5%A2%83%E4%BA%8B%E6%A5%AD%E6%89%80%20%E5%8D%83%E8%91%89%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%83%BD%E7%94%BA8-1-17
新浜リサイクルセンター 管理棟事務所前,千葉市中央区新浜町4,35.5611405,140.0933595,平日13:00～16:00,1,1,1,中央区,しんはまリサイクルセンター かんりとうじむしょまえ,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%B5%9C%E3%83%AA%E3%82%B5%E3%82%A4%E3%82%AF%E3%83%AB%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%8D%83%E8%91%89%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%96%B0%E6%B5%9C%E7%94%BA4
生浜公民館(生浜市民センター),千葉市中央区生実町67-1,35.5596231,140.1418207,月～日9:00～21:00,1,1,1,中央区,おいはまこうみんかん(おいはましみんセンター),https://www.google.com/maps/search/?api=1&query=%E7%94%9F%E6%B5%9C%E5%85%AC%E6%B0%91%E9%A4%A8%20%E5%8D%83%E8%91%89%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E7%94%9F%E5%AE%9F%E7%94%BA67-1
松ケ丘公民館(市民センター),千葉市中央区松ケ丘町257-2,35.5881574,140.1518278,月～日9:00～21:00,1,1,1,中央区,まつがおかこうみんかん(しみんセンター),https://www.google.com/maps/search/?api=1&query=%E6%9D%BE%E3%82%B1%E4%B8%98%E5%85%AC%E6%B0%91%E9%A4%A8%20%E5%8D%83%E8%91%89%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%9D%BE%E3%82%B1%E4%B8%98%E7%94%BA257-2
蘇我コミュニティセンター,千葉市中央区今井1-14-43,35.5835687,140.1291687,月～日9:00～21:00,1,1,1,中央区,そがコミュニティセンター,https://www.google.com/maps/search/?api=1&query=%E8%98%87%E6%88%91%E3%82%B3%E3%83%9F%E3%83%A5%E3%83%8B%E3%83%86%E3%82%A3%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%8D%83%E8%91%89%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E4%BB%8A%E4%BA%951-14-43
花見川区役所 1階警備員室前,千葉市花見川区瑞穂1-1,35.6628475,140.0688900,平日9:00～17:00,1,1,1,花見川区,はなみがわくやくしょ いっかいけいびいんしつまえ,https://www.google.com/maps/search/?api=1&query=%E8%8A%B1%E8%A6%8B%E5%B7%9D%E5%8C%BA%E5%BD%B9%E6%89%80%20%E5%8D%83%E8%91%89%E5%B8%82%E8%8A%B1%E8%A6%8B%E5%B7%9D%E5%8C%BA%E7%91%9E%E7%A9%821-1
犢橋市民センター(犢橋公民館),千葉市花見川区犢橋町162-1,35.6668178,140.1136590,月～日9:00～21:00,0,0,1,花見川区,こてはししみんセンター(こてはしこうみんかん),https://www.google.com/maps/search/?api=1&query=%E7%8A%A2%E6%A9%8B%E5%B8%82%E6%B0%91%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%8D%83%E8%91%89%E5%B8%82%E8%8A%B1%E8%A6%8B%E5%B7%9D%E5%8C%BA%E7%8A%A2%E6%A9%8B%E7%94%BA162-1
花見川市民センター,千葉市花見川区花見川3-31-102,35.6887453,140.0967513,平日9:00～17:00,1,1,1,花見川区,はなみがわしみんセンター,https://www.google.com/maps/search/?api=1&query=%E8%8A%B1%E8%A6%8B%E5%B7%9D%E5%B8%82%E6%B0%91%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%8D%83%E8%91%89%E5%B8%82%E8%8A%B1%E8%A6%8B%E5%B7%9D%E5%8C%BA%E8%8A%B1%E8%A6%8B%E5%B7%9D3-31-102
幕張本郷公民館(幕張本郷市民センター),千葉市花見川区幕張本郷2-19-33,35.6681848,140.0392179,月～日9:00～21:00,1,1,1,花見川区,まくはりほんごうこうみんかん(まくはりほんごうしみんセンター),https://www.google.com/maps/search/?api=1&query=%E5%B9%95%E5%BC%B5%E6%9C%AC%E9%83%B7%E5%85%AC%E6%B0%91%E9%A4%A8%20%E5%8D%83%E8%91%89%E5%B8%82%E8%8A%B1%E8%A6%8B%E5%B7%9D%E5%8C%BA%E5%B9%95%E5%BC%B5%E6%9C%AC%E9%83%B72-19-33
さつきが丘市民センター,千葉市花見川区さつきが丘1-32,35.6650900,140.0959147,平日9:00～17:00,0,1,1,花見川区,さつきがおかしみんセンター,https://www.google.com/maps/search/?api=1&query=%E3%81%95%E3%81%A4%E3%81%8D%E3%81%8C%E4%B8%98%E5%B8%82%E6%B0%91%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%8D%83%E8%91%89%E5%B8%82%E8%8A%B1%E8%A6%8B%E5%B7%9D%E5%8C%BA%E3%81%95%E3%81%A4%E3%81%8D%E3%81%8C%E4%B8%981-32
稲毛区役所 1階正面入口横,千葉市稲毛区穴川4-12-1,35.6362318,140.1073292,平日9:00～17:00,1,1,1,稲毛区,いなげくやくしょ いっかいしょうめんいりぐちよこ,https://www.google.com/maps/search/?api=1&query=%E7%A8%B2%E6%AF%9B%E5%8C%BA%E5%BD%B9%E6%89%80%20%E5%8D%83%E8%91%89%E5%B8%82%E7%A8%B2%E6%AF%9B%E5%8C%BA%E7%A9%B4%E5%B7%9D4-12-1
花見川・稲毛環境事業所,千葉市稲毛区宮野木町2147-7,35.6624700,140.1032845,平日9:00～17:00、土曜9:00～12:00,1,1,1,稲毛区,はなみがわ・いなげかんきょうじぎょうしょ,https://www.google.com/maps/search/?api=1&query=%E8%8A%B1%E8%A6%8B%E5%B7%9D%E3%83%BB%E7%A8%B2%E6%AF%9B%E7%92%B0%E5%A2%83%E4%BA%8B%E6%A5%AD%E6%89%80%20%E5%8D%83%E8%91%89%E5%B8%82%E7%A8%B2%E6%AF%9B%E5%8C%BA%E5%AE%AE%E9%87%8E%E6%9C%A8%E7%94%BA2147-7
山王市民センター,千葉市稲毛区六方町55-29,35.6577060,140.1452550,平日9:00～17:00,1,1,1,稲毛区,さんのうしみんセンター,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E7%8E%8B%E5%B8%82%E6%B0%91%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%8D%83%E8%91%89%E5%B8%82%E7%A8%B2%E6%AF%9B%E5%8C%BA%E5%85%AD%E6%96%B9%E7%94%BA55-29
長沼コミュニティセンター,千葉市稲毛区長沼町461-8,35.6635972,140.1260565,月～日9:00～21:00,1,1,1,稲毛区,ながぬまコミュニティセンター,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E6%B2%BC%E3%82%B3%E3%83%9F%E3%83%A5%E3%83%8B%E3%83%86%E3%82%A3%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%8D%83%E8%91%89%E5%B8%82%E7%A8%B2%E6%AF%9B%E5%8C%BA%E9%95%B7%E6%B2%BC%E7%94%BA461-8
若葉区役所 3階総務課前,千葉市若葉区桜木北2-1-1,35.6340173,140.1556416,平日9:00～17:00,1,1,1,若葉区,わかばくやくしょ さんかいそうむかまえ,https://www.google.com/maps/search/?api=1&query=%E8%8B%A5%E8%91%89%E5%8C%BA%E5%BD%B9%E6%89%80%20%E5%8D%83%E8%91%89%E5%B8%82%E8%8B%A5%E8%91%89%E5%8C%BA%E6%A1%9C%E6%9C%A8%E5%8C%972-1-1
泉市民センター,千葉市若葉区高根町963-4,35.5941194,140.2206092,平日9:00～17:00,1,1,1,若葉区,いずみしみんセンター,https://www.google.com/maps/search/?api=1&query=%E6%B3%89%E5%B8%82%E6%B0%91%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%8D%83%E8%91%89%E5%B8%82%E8%8B%A5%E8%91%89%E5%8C%BA%E9%AB%98%E6%A0%B9%E7%94%BA963-4
